Tier,id,name,position,team,vor,adp,bye,ppg
1,9,Josh Allen,QB,BUF,12.75,22.5,7.0,17.8
2,17,Lamar Jackson,QB,BAL,10.6,23.0,7.0,15.66
2,19,Joe Burrow,QB,CIN,10.15,37.5,10.0,15.2
2,23,Jayden Daniels,QB,WAS,9.29,29.5,12.0,14.35
2,26,Jalen Hurts,QB,PHI,9.15,38.5,9.0,14.21
2,30,Baker Mayfield,QB,TB,7.93,70.5,9.0,12.99
3,44,J.J. McCarthy,QB,MIN,5.57,134.0,6.0,10.63
3,48,Caleb Williams,QB,CHI,5.34,107.0,5.0,10.4
3,49,Bo Nix,QB,DEN,5.32,79.0,12.0,10.38
3,52,Jared Goff,QB,DET,5.12,99.5,8.0,10.17
3,64,Brock Purdy,QB,SF,4.49,111.0,14.0,9.55
3,66,Patrick Mahomes,QB,KC,4.14,59.0,10.0,9.2
3,70,Kyler Murray,QB,ARI,3.94,90.5,8.0,9.0
3,73,Justin Herbert,QB,LAC,3.7199999999999998,111.5,12.0,8.78
3,74,Cam Ward,QB,TEN,3.6,164.0,10.0,8.66
3,79,Sam Darnold,QB,SEA,3.17,180.0,8.0,8.23
3,91,Justin Fields,QB,NYJ,2.38,113.0,9.0,7.43
3,103,Jordan Love,QB,GB,1.71,131.0,5.0,6.76
3,104,Drake Maye,QB,NE,1.62,125.0,14.0,6.68
3,119,Geno Smith,QB,LV,0.96,176.0,8.0,6.02
3,128,Matthew Stafford,QB,LAR,0.41000000000000003,166.0,8.0,5.46
3,129,Tua Tagovailoa,QB,MIA,0.36,151.5,12.0,5.42
3,131,Trevor Lawrence,QB,JAX,0.24,140.5,8.0,5.29
3,136,C.J. Stroud,QB,HOU,0.0,128.5,6.0,5.06
3,141,Dak Prescott,QB,DAL,-0.02,106.0,10.0,5.04
3,142,Aaron Rodgers,QB,PIT,-0.07,185.0,5.0,4.98
3,147,Tyler Shough,QB,NO,-0.27,221.5,11.0,4.79
3,150,Bryce Young,QB,CAR,-0.49,161.0,14.0,4.57
4,192,Russell Wilson,QB,NYG,-2.36,205.5,14.0,2.7
4,220,Joe Flacco,QB,CLE,-3.51,248.5,9.0,1.55
4,234,Michael Penix,QB,ATL,-4.38,162.0,5.0,0.68
4,249,Austin Reed,QB,CHI,-5.1,273.5,5.0,-0.05
4,266,Daniel Jones,QB,IND,-5.85,226.5,11.0,-0.79
4,301,Jaxson Dart,QB,NYG,-7.08,223.0,14.0,-2.03
4,309,Kirk Cousins,QB,ATL,-7.49,266.0,5.0,-2.43
4,319,Shedeur Sanders,QB,CLE,-7.94,226.5,9.0,-2.88
4,327,Jalen Milroe,QB,SEA,-8.89,261.0,8.0,-3.84
4,331,Jimmy Garoppolo,QB,LAR,-9.46,247.0,8.0,-4.4
4,332,Spencer Rattler,QB,NO,-9.52,234.0,11.0,-4.46
4,338,Tanner McKee,QB,PHI,-11.13,297.0,9.0,-6.07
